processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
CNCHA1421-11	CNC#HEM301894	1976604	CNC#HEM301894		Canadian National Collection of Insects, Arachnids and Nematodes		BOLD:AAV0109	20	Arthropoda	82	Insecta	133	Hemiptera											C. N. C. Curators				Vouchered:Registered Collection	Tissue																					137				Nepal					1139793	http://www.boldsystems.org/pics/CNCHA/CNC#HEM301894+1305723364.jpg	Dorsal		CNC/BIO Photography Group	2011	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Grace Bannon
COCUZ573-18	UHIM.ms5977	9394789	UHIM.ms5977	FF15Np004ME	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	79336	Bactrocera zonata			Luc Leblanc		Saunders, 1842					B. Bhandari							Adult	M	S				Lure: methyl eugenol		27.5996	83.7273							Nepal				Ramnagar, Nawalparasi									
COCUZ583-18	UHIM.ms5989	9394799	UHIM.ms5989	FF15Np004ME	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	79336	Bactrocera zonata			Luc Leblanc		Saunders, 1842					B. Bhandari							Adult	M	S				Lure: methyl eugenol		27.5996	83.7273							Nepal				Ramnagar, Nawalparasi									
COCUZ596-18	UHIM.ms6002	9394812	UHIM.ms6002	FF15Np002ME	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	79336	Bactrocera zonata			Luc Leblanc		Saunders, 1842					B. Bhandari							Adult	M	S				Lure: methyl eugenol		27.5909	83.7209							Nepal				Ramnagar, Nawalparasi									
COCUZ601-18	UHIM.ms6011	9394817	UHIM.ms6011	FF15Np002ME	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	79336	Bactrocera zonata			Luc Leblanc		Saunders, 1842					B. Bhandari							Adult	M	S				Lure: methyl eugenol		27.5909	83.7209							Nepal				Ramnagar, Nawalparasi									
COCUZ629-18	UHIM.ms6041	9394845	UHIM.ms6041	FF15Np001ME	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	79336	Bactrocera zonata			Luc Leblanc		Saunders, 1842					B. Bhandari							Adult	M	S				Lure: methyl eugenol		27.5888	83.7149							Nepal				Ramnagar, Nawalparasi									
COCUZ630-18	UHIM.ms6042	9394846	UHIM.ms6042	FF15Np001ME	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	79336	Bactrocera zonata			Luc Leblanc		Saunders, 1842					B. Bhandari							Adult	M	S				Lure: methyl eugenol		27.5888	83.7149							Nepal				Ramnagar, Nawalparasi									
COCUZ635-18	UHIM.ms6047	9394851	UHIM.ms6047	FF15Np001ME	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	79336	Bactrocera zonata			Luc Leblanc		Saunders, 1842					B. Bhandari							Adult	M	S				Lure: methyl eugenol		27.5888	83.7149							Nepal				Ramnagar, Nawalparasi									
COCUZ664-18	UHIM.ms6077	9394880	UHIM.ms6077	FF15Np003ME	University of Hawaii Insect Museum			20	Arthropoda	82	Insecta	127	Diptera	439	Tephritidae	2194	Dacinae	6515	Bactrocera	79336	Bactrocera zonata			Luc Leblanc		Saunders, 1842					B. Bhandari							Adult	M	S				Lure: methyl eugenol		27.5942	83.7124							Nepal				Ramnagar, Nawalparasi									
CRICO1429-18	NID-N8596	8601485		NP_P320160401001JLaborde	University of Nebraska-Lincoln			19	Nematoda	756896	Chromadorea	407	Tylenchida	296580	Criconematidae			738448	Criconema	805333	Criconema sp. Nepal										J Laborde				Pine & leaf detritus on soil surface;  sampled at the bottom of a small valley (or ravine) between two ridges;  Soil was very hard and dry	 Eastern Himalayan Broadleaf and Mixed  Forests 	Composite	Adult	F		Pine forest					27.628	85.276	Google Earth		1778.8				Nepal			near Chalti	southwest of Kathmandu									
