,processid,sampleid,recordID,catalognum,fieldnum,institution_storing,collection_code,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,identification_method,identification_reference,tax_note,voucher_status,tissue_type,collection_event_id,collectors,collectiondate_start,collectiondate_end,collectiontime,collection_note,site_code,sampling_protocol,lifestage,sex,reproduction,habitat,associated_specimens,associated_taxa,extrainfo,notes,lat,lon,coord_source,coord_accuracy,elev,depth,elev_accuracy,depth_accuracy,country,province_state,region,sector,exactsite,image_ids,image_urls,media_descriptors,captions,copyright_holders,copyright_years,copyright_licenses,copyright_institutions,photographers
646,DACIN2509-20,UHIM.ms09005,12230661,UHIM.ms09005,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
647,DACIN2523-20,UHIM.ms09021,12230675,UHIM.ms09021,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
710,DACIN1216-20,UHIM.ms05256,12229368,UHIM.ms05256,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,453393.0,Bactrocera raiensis,,,Michael San jose,,"Drew & Hancock, 1994",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
711,DACIN2484-20,UHIM.ms08980,12230636,UHIM.ms08980,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
712,DACIN2500-20,UHIM.ms08996,12230652,UHIM.ms08996,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
713,DACIN2525-20,UHIM.ms09023,12230677,UHIM.ms09023,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
714,DACIN2526-20,UHIM.ms09024,12230678,UHIM.ms09024,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
771,DACIN1220-20,UHIM.ms05260,12229372,UHIM.ms05260,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
772,DACIN1223-20,UHIM.ms05263,12229375,UHIM.ms05263,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
774,DACIN2512-20,UHIM.ms09009,12230664,UHIM.ms09009,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
